arrival,elevation
Groenlo,25
Lichtenvoorde,21
Neede,19
Ruurlo,17
Steenderen,10
Vorden,12
Warnsveld,9
Wehl,14
Amerongen,42
Doorn,5
Lith,4
Mierlo,22
Ravenstein,11
Veldhoven,22
Lathrup Village,215
Leonard,307
Lyon Township,287
Milford Township,300
Novi,277
Oak Park,203
Oakland Township,286
Orion Township,306
Ortonville,287
Oxford,322
Oxford Township,316
Pleasant Ridge,195
Pontiac,281
Rochester,229
Rochester Hills,250
Royal Oak,202
Royal Oak Township,201
Southfield,208
Springfield Township,310
Sylvan Lake,291
Troy,228
Walled Lake,287
White Lake Township,292
Wixom,283
Wolverine Lake,284
Prescott,243
Rose City,292
Vanderbilt,334
Jamestown Charter Township,220
Zeeland Charter Township,199
Roscommon,346
Bridgeport Charter Township,179
Saginaw Township,190
Manistique,183
Caledonia Township,230
Owosso Township,234
Algonac,177
China Township,189
Clay Township,176
East China Township,179
Fort Gratiot Township,185
Marysville,186
Port Huron,184
St. Clair Township,190
Millington,229
Ann Arbor Township,288
Augusta Township,207
Chelsea,284
Dexter,265
Manchester,274
Pittsfield Township,252
Saline,250
Superior Township,250
York Township,223
Allen Park,181
Belleville,205
Brownstown Township,178
Canton Township,207
Dearborn,180
Dearborn Heights,185
Ecorse,177
Flat Rock,182
Garden City,193
Gibraltar,177
Grosse Pointe,179
Grosse Pointe Farms,185
Grosse Pointe Park,176
Grosse Pointe Woods,178
Hamtramck,192
Highland Park,194
Huron Township,189
Melvindale,179
Northville Township,257
Plymouth,221
Redford Township,191
River Rouge,178
Riverview,183
Rockwood,178
Sumpter Township,202
Taylor,187
Gibraltar,182
Wayne,200
Westland,199
Woodhaven,184
Buckley,320
Harrietta,349
Manton,345
Mesick,287
Bemidji,416
Ponemah,365
Red Lake,369
Redby,371
Alberta Township,373
Gilmanton Township,360
Glendorado Township,324
Graham Township,365
Granite Ledge Township,358
Langola Township,328
Mayhew Lake Township,344
Maywood Township,345
Minden Township,328
Sauk Rapids Township,327
St. George Township,338
Watab Township,313
Akron Township,309
Almond Township,347
Artichoke Township,330
Browns Valley Township,337
Foster Township,336
Graceville Township,342
Malta Township,348
Moonshine Township,352
Odessa Township,329
Ortonville Township,325
Otrey Township,331
Prior Township,350
Toqua Township,338
Beauford Township,310
Butternut Valley Township,302
Cambria Township,290
Ceresco Township,307
Danville Township,312
Decoria Township,305
Garden City Township,306
Jamestown Township,310
Judson Township,302
Le Ray Township,310
Lime Township,300
Lincoln Township,302
Lyra Township,305
Mankato Township,293
Mapleton Township,312
McPherson Township,310
Medo Township,310
Pleasant Mound Township,317
Rapidan Township,304
Shelby Township,300
South Bend Township,292
Sterling Township,306
Vernon Center Township,311
Albin Township,317
Bashaw township,320
Cottonwood township,298
Eden Township,311
Home Township,307
Lake Hanska Township,307
Leavenworth Township,311
Linden Township,308
Milford Township,307
Mulligan Township,314
North Star Township,314
Prairieville Township,309
Sigel Township,299
Benton,296
Camden,286
Chaska Township,287
Dahlgren,279
Hancock Township,285
Hollywood,305
Laketown,297
San Francisco Township,268
Waconia,296
Young America,311
Bagley,442
Clearbrook,411
Rice Lake,452
Grand Marais,188
Inver Grove Heights,268
South St. Paul,219
West St. Paul,313
Grand Rapids,393
Hallock,249
International Falls,345
Baudette,332
Warren,261
Ada,276
's-Gravendeel,0
Rijnsburg,0
Thief River Falls,345
Crookston,267
East Grand Forks,254
Red Lake Falls,316
Faribault,303
Roseau,319
Elko New Market,348
Buffalo,283
Natchez,66
Ethel,129
Coahoma,53
Friars Point,53
Hernando,116
Biloxi,6
D'Iberville,4
Gulfport,6
Pass Christian,4
Raymond,98
Utica,90
Fulton,104
Ocean Springs,7
Oxford,154
Taylor,99
